Game Duration,Total Team Gold Earned,Total Team Crowd Control Time,Average Team Account Level,Average Team Champion Mastery,Total Team Kills,Total Team Vision Score,Win
1769,50066,56,306.6,11266.6,13,145,0
1769,60889,84,293.8,14418.8,32,192,1
1118,45887,82,319.8,8572.6,37,80,1
1118,30927,62,366.0,6489.8,14,66,0
1362,48286,81,443.8,10763.0,19,146,1
1362,44845,59,117.0,10070.2,21,118,0
1183,40286,58,345.0,8799.6,21,95,1
1183,31884,74,467.6,7259.4,10,72,0
2514,91540,173,267.0,22793.4,45,283,1
2514,82732,160,445.6,19995.0,46,293,0
1336,45748,66,522.0,10268.6,23,120,1
1336,41080,90,314.2,9054.4,19,98,0
1410,41351,77,298.4,9632.8,22,124,0
1410,46568,72,244.2,10129.4,17,103,1
1581,61754,123,322.0,13699.4,38,160,1
1581,51577,89,329.2,11996.8,24,114,0
1553,58134,142,290.2,13299.8,38,131,1
1553,45064,81,307.2,10654.8,20,149,0
1210,47025,47,322.6,9871.0,27,103,1
1210,37625,68,317.2,8266.6,18,75,0
969,34264,58,415.4,7255.8,17,72,1
969,24514,56,377.8,5705.2,5,57,0
1451,51033,82,429.2,10769.6,23,138,1
1451,42508,95,323.4,9111.4,20,128,0
1171,38456,68,211.2,8328.6,19,72,0
1171,47357,100,215.2,9269.8,40,87,1
1444,46370,91,246.6,10887.6,25,127,1
1444,44323,90,230.0,9677.4,18,152,0
920,35562,121,240.4,6672.0,26,54,1
920,26585,39,108.4,5134.2,15,60,0
1732,52942,101,295.2,12215.0,30,145,0
1732,63278,82,264.2,14434.4,39,187,1
1584,47005,59,449.6,11585.2,22,123,0
1584,57885,83,445.0,13443.6,33,153,1
1057,28978,108,386.2,6580.4,9,73,0
1057,35540,62,423.4,7397.8,22,88,1
1368,39027,68,399.6,8877.0,14,94,0
1368,48009,105,318.0,10596.8,26,112,1
1574,48612,116,444.4,10335.6,24,107,0
1574,58357,98,414.2,12273.8,46,139,1
1462,38141,59,224.4,8860.0,7,86,0
1462,51065,130,247.0,11508.6,36,163,1
1203,30836,118,501.6,6665.6,15,78,0
1203,49016,129,331.4,9507.8,28,87,1
1404,52753,37,486.0,11502.2,31,133,1
1404,36632,75,318.6,8727.0,10,97,0
1692,62104,62,365.8,12835.4,29,109,0
1692,66508,124,350.0,14716.8,44,141,1
1447,41018,70,442.0,8986.4,14,109,0
1447,53817,119,285.0,11633.6,36,122,1
1870,64932,38,277.8,15118.2,30,185,1
1870,53565,145,314.6,13053.4,24,201,0
2120,79014,214,415.0,17785.6,63,184,1
2120,67509,205,393.6,15346.2,48,143,0
1828,56615,64,468.6,13665.8,35,124,0
1828,67041,148,399.0,16047.0,45,155,1
2321,73324,239,374.0,16768.0,40,214,0
2321,84768,285,490.8,18984.2,50,249,1
1563,58666,79,285.0,12913.2,39,160,1
1563,51136,112,322.0,11668.6,27,146,0
1549,52892,118,391.4,12029.4,31,110,1
1549,48840,76,236.4,10221.6,23,141,0
1858,61586,93,391.4,13243.2,36,184,0
1858,66898,101,386.0,15060.6,39,159,1
1559,42977,89,323.8,9758.6,11,119,0
1559,52776,46,370.4,11845.8,20,153,1
2079,66257,121,374.8,16572.2,25,211,1
2079,63112,116,266.2,15743.6,31,196,0
1679,65771,175,521.2,12152.8,40,131,1
1679,51552,172,434.6,11164.4,21,169,0
1696,57887,116,441.8,14153.2,31,170,1
1696,50651,85,266.4,11686.0,21,193,0
1560,47644,99,225.6,10443.6,18,134,0
1560,56115,131,255.4,13141.6,37,164,1
1259,47281,112,304.8,9587.6,35,121,1
1259,37036,78,243.0,7881.4,15,73,0
1557,43647,103,450.2,9320.6,10,137,0
1557,57543,61,259.8,13144.6,33,154,1
1471,40145,63,218.8,9076.4,14,120,0
1471,55806,84,385.0,11768.6,34,126,1
1282,47220,78,441.4,10332.4,25,95,1
1282,33375,51,409.8,7986.4,7,76,0
2011,62228,117,256.2,14203.6,22,212,0
2011,65985,167,386.4,16314.8,30,191,1
1057,40946,48,509.0,7731.4,24,72,1
1057,29064,66,235.4,6286.2,11,76,0
1390,37526,78,372.0,9078.2,11,89,0
1390,50356,42,248.2,11234.6,28,141,1
1976,60902,63,429.8,14248.6,26,173,0
1976,70375,116,588.0,17336.2,34,207,1
1208,32659,57,390.8,6642.0,9,69,0
1208,45367,58,325.0,9240.4,32,109,1
1740,59935,115,422.4,14616.0,34,212,1
1740,46107,62,333.0,10953.2,5,174,0
1673,43299,60,404.6,10181.6,14,97,0
1673,54844,112,377.2,13521.8,33,146,1
193,4515,3,197.2,703.0,0,2,0
193,5361,0,449.6,744.2,1,2,1
1903,57562,90,386.2,12829.8,23,141,0
1903,64668,114,583.4,14248.8,35,220,1
1669,63807,83,242.6,13709.4,33,181,1
1669,53854,55,289.8,12203.8,27,153,0
1556,60212,138,426.6,13504.2,41,173,1
1556,48374,279,225.0,10299.8,21,105,0
1409,54997,80,367.8,11892.0,31,121,1
1409,40492,61,385.8,9389.0,12,100,0
1016,25531,61,429.4,5286.8,8,62,0
1016,43806,70,352.8,7680.8,28,73,1
1503,62371,121,279.0,11190.4,39,165,1
1503,45390,89,339.8,9586.6,20,141,0
1797,61613,101,382.8,13903.4,27,186,1
1797,53585,118,332.0,11909.8,27,187,0
1054,39732,65,521.2,7936.0,19,90,1
1054,24599,64,355.4,5909.8,3,53,0
1863,63622,73,444.8,14762.6,28,163,0
1863,70689,105,135.8,16912.8,40,225,1
1773,67083,84,312.2,14945.8,34,172,1
1773,58117,108,278.8,11998.6,23,162,0
1401,50496,85,362.8,11354.0,26,134,1
1401,42226,45,394.6,8908.2,12,93,0
1543,50483,114,356.8,10822.0,28,127,0
1543,57933,129,369.2,12806.6,32,126,1
1710,62267,192,367.8,14467.4,39,156,1
1710,46709,150,280.6,10471.0,15,146,0
1918,74284,182,267.0,18204.0,41,159,1
1918,67652,96,473.2,14850.8,39,179,0
1765,59307,111,210.8,13391.4,30,149,0
1765,60231,60,328.6,14559.6,27,132,1
1729,64433,141,395.6,14500.2,33,162,1
1729,55572,135,217.2,11499.4,24,185,0
1968,70625,139,343.0,17025.4,39,230,1
1968,64427,131,211.8,16139.8,33,169,0
1224,47113,84,193.2,9572.0,36,126,1
1224,31973,96,294.4,7228.6,7,75,0
1267,33836,38,325.4,7295.6,10,106,0
1267,50465,109,283.8,9991.8,31,114,1
2424,84796,89,425.2,20052.4,42,241,1
2424,82839,249,258.0,18359.8,49,266,0
1825,62506,96,376.2,14046.4,33,187,1
1825,56343,95,327.4,13447.8,19,141,0
929,34354,46,373.0,7458.4,25,44,1
929,23839,36,465.4,5347.0,4,35,0
1325,49347,72,331.0,11081.2,24,124,1
1325,36840,50,250.6,8982.4,9,81,0
1942,72316,79,185.0,17059.0,46,159,1
1942,62179,110,385.0,14543.6,26,118,0
1584,50865,111,233.8,10624.6,27,132,0
1584,60075,140,283.0,13905.2,38,133,1
956,37183,38,411.6,7440.8,25,74,1
956,25904,40,196.6,6141.4,9,67,0
1289,51484,72,348.8,10216.6,36,109,1
1289,39653,84,205.2,8721.6,17,67,0
1792,62045,105,288.6,14477.8,32,137,1
1792,61177,153,288.8,14326.6,40,142,0
1313,38877,78,425.6,8840.6,16,114,0
1313,44606,60,324.0,9918.8,18,89,1
1675,54721,128,139.2,12577.4,34,156,0
1675,65135,67,280.2,14999.6,45,150,1
1378,58957,85,84.6,13045.4,54,85,1
1378,41061,52,417.0,9380.0,19,74,0
1616,61082,106,446.0,13315.8,43,137,1
1616,49681,90,419.2,11121.8,21,132,0
887,34027,76,372.4,6104.6,20,55,1
887,19042,39,241.4,3488.2,6,19,0
2740,87539,140,484.8,21655.8,42,292,1
2740,92395,177,287.2,22286.6,51,328,0
1243,34230,58,463.8,7896.2,11,64,0
1243,47618,73,421.4,10470.6,28,133,1
1436,40899,179,637.2,8967.4,11,103,0
1436,51773,94,464.8,11491.8,28,113,1
1808,52989,112,468.8,12576.6,27,140,0
1808,62565,117,113.8,15120.8,34,201,1
1392,38501,48,395.2,8629.2,14,98,0
1392,49030,141,428.2,9930.0,27,143,1
1825,59319,79,374.8,12237.4,37,183,0
1825,71085,102,451.4,14666.6,35,176,1
1532,61590,59,475.8,11976.6,40,170,1
1532,46934,166,236.8,9908.6,24,143,0
1089,31458,61,293.8,6815.4,10,84,0
1089,45501,88,298.2,8613.0,31,71,1
1394,54172,68,345.4,11768.2,33,154,1
1394,44284,92,345.2,9398.8,19,102,0
913,33367,39,482.2,6906.6,22,66,1
913,26022,33,491.8,5427.8,10,54,0
1654,49291,96,358.8,10935.6,23,99,0
1654,60580,104,318.8,13758.0,36,163,1
1163,27730,50,180.0,6332.4,7,72,0
1163,45910,56,318.2,8605.4,27,82,1
2166,76273,86,437.6,17430.2,35,300,0
2166,75788,145,211.0,17957.2,47,232,1
