Game Duration,Total Team Gold Earned,Total Team Crowd Control Time,Average Team Account Level,Average Team Champion Mastery,Total Team Kills,Total Team Vision Score,Win
1952,74944,118,253.2,17435.4,46,181,1
1952,64774,139,391.6,14076.0,27,184,0
1327,45832,115,289.4,9480.2,30,120,1
1327,37569,92,343.2,8133.2,16,90,0
955,38687,29,289.8,7018.6,22,78,1
955,23320,47,347.6,5032.2,7,43,0
1058,25067,47,245.6,5515.6,6,68,0
1058,41413,54,246.8,8165.0,28,74,1
2092,68674,265,142.6,15452.2,29,205,0
2092,75253,112,317.4,18288.0,39,234,1
1272,44872,26,159.2,10421.2,19,96,1
1272,35782,39,199.0,8382.2,12,77,0
2032,63941,104,315.4,14547.8,27,230,0
2032,69353,85,369.8,16714.8,35,226,1
1209,28135,67,300.4,6264.2,6,60,0
1209,43573,107,351.4,8799.8,25,96,1
1347,47476,92,384.0,10883.2,29,115,1
1347,38975,59,182.8,8942.0,14,93,0
2267,71970,128,539.8,16275.4,33,246,0
2267,79093,122,652.6,19908.0,41,210,1
1443,50105,140,434.2,11178.8,27,111,1
1443,45357,89,317.8,9319.6,19,101,0
1940,61153,162,232.8,13180.6,29,166,0
1940,70473,158,337.4,16291.0,44,179,1
1557,41149,97,320.2,10156.8,12,128,0
1557,54645,94,548.4,12581.2,24,138,1
1371,41627,98,375.0,9069.2,25,68,0
1371,54894,106,212.0,11003.6,46,110,1
1160,39330,68,247.8,8621.8,27,93,1
1160,35633,58,289.0,8017.6,17,72,0
1491,44461,96,307.0,10143.6,18,139,0
1491,53140,108,396.4,12038.2,26,138,1
1551,59730,114,318.2,13042.2,32,136,1
1551,44394,108,326.0,10856.6,20,85,0
1686,54294,160,393.6,11467.8,28,131,0
1686,60687,69,226.2,13974.6,36,130,1
1962,67090,107,294.2,16623.6,32,212,1
1962,61842,126,380.0,14046.4,27,185,0
1442,48433,84,394.8,10894.8,26,121,1
1442,41954,55,153.2,9425.2,15,109,0
2356,73829,123,439.4,17921.8,42,250,0
2356,76743,122,407.2,19212.4,41,236,1
914,34773,41,284.2,5778.4,24,56,1
914,24335,24,398.2,4729.6,9,41,0
919,24319,40,274.6,4921.6,10,33,0
919,37009,50,221.6,7022.2,23,59,1
1675,47899,75,417.2,10948.0,22,153,0
1675,55193,115,326.6,12994.2,27,126,1
1777,61027,50,288.0,14659.0,21,206,1
1777,50448,78,503.8,12083.4,15,140,0
839,36172,41,311.4,5878.8,22,55,1
839,19405,24,314.0,3830.0,6,28,0
2632,87553,94,299.0,21298.0,39,301,1
2632,84601,94,413.2,20931.6,33,298,0
1985,65728,149,169.4,15407.6,43,122,0
1985,74292,115,274.0,16387.6,47,135,1
1871,58437,83,252.4,14080.4,34,82,0
1871,70328,107,273.8,15728.0,52,134,1
1391,39075,35,261.2,8784.6,16,60,0
1391,57293,84,273.6,11203.4,55,58,1
2250,73099,186,379.4,17792.4,38,148,0
2250,75735,144,260.6,18516.2,50,204,1
1471,43711,74,482.8,9664.4,19,115,0
1471,47654,68,506.6,11215.0,22,90,1
1340,39091,89,520.6,8496.4,17,108,0
1340,52218,96,234.8,11024.2,34,125,1
1516,42020,36,232.2,9836.4,11,100,0
1516,53762,92,460.8,12867.0,25,142,1
1418,43728,49,456.0,9542.6,11,102,0
1418,48791,97,207.4,11347.8,26,137,1
1195,34900,107,404.6,7679.8,16,79,0
1195,47070,97,285.4,8955.8,32,85,1
1231,32214,44,306.4,7632.4,10,78,0
1231,42411,83,219.6,9458.8,23,115,1
1544,42999,72,327.8,10412.2,16,137,0
1544,57145,72,260.4,13013.0,24,125,1
1622,44211,105,324.8,10698.4,9,161,0
1622,52456,102,353.2,12336.2,19,127,1
1369,36390,115,341.4,7897.6,14,111,0
1369,56851,120,305.2,11483.4,41,111,1
2310,83061,186,303.8,19126.8,57,190,1
2310,79001,180,271.2,16298.6,42,205,0
1586,61860,117,647.2,14714.4,42,133,1
1586,53151,47,235.6,11524.0,29,132,0
1718,54710,110,408.0,12400.8,26,115,0
1718,65626,88,518.2,15082.2,46,131,1
1571,59242,143,288.2,12417.4,37,141,1
1571,47959,108,224.8,10396.0,22,131,0
1179,42237,44,406.4,9427.4,25,59,1
1179,32578,77,450.6,7939.2,12,65,0
1464,41408,83,502.4,8898.4,17,73,0
1464,54226,114,318.4,11886.4,25,137,1
1937,60437,129,436.0,13244.4,32,184,0
1937,67241,156,244.4,15265.4,33,190,1
192,4206,5,302.4,596.8,0,0,0
192,4608,6,428.8,694.4,0,3,1
1665,47382,153,501.4,11127.0,21,115,0
1665,62651,113,361.2,14258.6,44,192,1
1270,37037,39,433.2,8521.8,11,97,0
1270,44063,44,333.2,10256.6,20,105,1
1705,61497,67,180.8,14216.8,36,167,1
1705,52437,57,229.2,12013.6,16,167,0
1971,64492,113,361.6,14693.8,20,215,0
1971,74919,173,412.2,18712.4,45,189,1
2013,64073,148,303.8,14878.0,41,184,0
2013,71711,169,314.4,16745.4,34,208,1
1189,42883,95,553.2,8410.4,21,90,1
1189,32468,79,450.6,7108.6,9,92,0
198,4792,1,167.8,559.2,2,1,0
198,4968,2,206.6,646.8,2,1,1
1452,50825,87,342.2,11387.0,29,117,1
1452,42864,134,479.6,9618.4,15,124,0
2189,75244,126,170.4,17385.4,40,257,1
2189,68048,127,540.8,16312.4,31,282,0
1931,69132,151,429.4,16447.6,49,138,1
1931,56469,141,280.0,13454.0,26,134,0
1952,62548,158,334.6,14517.2,29,123,0
1952,67620,131,429.4,16265.0,35,164,1
1028,25910,55,195.6,6249.4,8,48,0
1028,35059,53,429.4,7385.8,19,57,1
1839,61910,195,429.0,14558.2,43,120,1
1839,56899,267,374.4,12500.8,26,127,0
1792,59362,86,429.0,12871.4,38,133,0
1792,65652,130,388.8,14676.4,39,145,1
1717,52744,117,443.4,11759.0,29,144,0
1717,56850,69,321.0,11466.2,18,140,1
1418,42447,59,425.8,9108.4,18,110,0
1418,53408,77,473.2,11262.0,29,105,1
1929,59910,103,417.6,13536.4,26,160,0
1929,66972,246,394.6,16562.6,39,121,1
1351,35000,73,394.4,7764.8,13,69,0
1351,53347,55,404.2,10729.4,35,78,1
1641,47224,47,467.2,11550.6,19,115,0
1641,57975,47,292.8,13423.0,27,160,1
922,21501,36,399.0,5474.0,4,42,0
922,33316,60,216.0,7305.8,18,70,1
1839,60590,87,401.6,15166.4,26,189,1
1839,52011,59,348.4,13068.8,16,200,0
1328,45960,89,366.2,10410.4,31,75,1
1328,34156,91,391.0,8513.2,12,81,0
1958,62872,167,366.0,15228.6,40,157,1
1958,47636,146,401.4,11794.2,20,124,0
2767,93239,177,365.8,24004.4,63,196,1
2767,84486,283,416.2,21465.4,39,183,0
2132,70215,77,337.2,16792.8,41,182,1
2132,67312,121,365.8,17692.4,34,90,0
1991,59634,97,497.2,14774.8,16,172,0
1991,69527,131,526.8,17077.2,35,199,1
1351,45930,102,385.8,10613.4,29,118,1
1351,38309,77,560.2,8932.0,12,110,0
1275,49425,82,311.6,10867.2,33,115,1
1275,35155,74,353.0,8131.6,13,79,0
1710,62642,58,381.8,14702.4,35,163,1
1710,50620,66,342.6,12382.6,19,124,0
1261,47669,53,612.2,10506.8,28,95,1
1261,36332,62,356.2,8491.0,13,72,0
1270,34833,35,246.0,8187.4,13,79,0
1270,45633,52,329.2,8759.8,27,100,1
1886,66139,147,364.0,15502.4,41,208,1
1886,61805,185,396.6,13584.8,33,133,0
1554,53676,105,386.0,12011.0,29,195,1
1554,40819,89,250.0,10336.0,9,119,0
1173,30917,94,359.4,6561.8,10,63,0
1173,46678,90,196.8,9284.6,35,78,1
1648,44831,91,260.6,9956.0,16,104,0
1648,54566,109,329.4,12624.6,32,139,1
1172,44779,89,414.6,8828.2,25,81,1
1172,32456,37,254.0,7060.6,13,63,0
1692,47642,81,459.0,11262.0,19,119,0
1692,60445,71,290.8,14031.0,23,162,1
2423,87431,140,233.0,20737.2,50,222,0
2423,95733,89,538.4,22671.0,57,218,1
2010,74767,134,409.4,17444.8,45,174,1
2010,71623,101,494.2,15572.0,35,201,0
2125,69997,101,83.8,17435.8,36,194,1
2125,74606,78,207.2,17656.6,40,187,0
1861,50059,46,323.8,13312.2,8,167,0
1861,61501,118,253.4,15670.4,13,186,1
1952,62107,113,451.6,14883.2,31,220,0
1952,67861,110,305.0,15412.2,36,183,1
1564,51501,81,315.8,11462.0,29,129,0
1564,59958,81,199.8,13151.4,38,131,1
1686,63259,53,433.8,14663.8,39,155,1
1686,52862,90,280.0,12445.6,23,155,0
2164,71739,90,222.6,17145.8,35,203,1
2164,66162,115,336.6,15354.0,26,248,0
1298,39505,83,363.8,8948.8,17,108,0
1298,49465,87,206.0,10852.8,30,84,1
1618,47986,70,174.2,10653.4,19,144,0
1618,55982,68,490.0,12942.6,31,140,1
920,21186,17,220.8,5173.4,3,38,0
920,32402,55,277.8,7140.6,16,58,1
2017,62862,118,286.0,14479.4,25,177,0
2017,66096,97,281.6,16382.2,30,202,1
1618,57269,66,260.6,13994.8,24,146,1
1618,49733,58,389.0,12037.2,15,111,0
1961,68092,148,216.8,15412.4,37,208,0
1961,72462,124,295.4,17083.4,37,195,1
1689,55378,106,350.4,13091.8,26,159,0
1689,60487,186,331.8,13061.0,31,134,1
1605,47334,113,198.6,11294.4,23,153,0
1605,56218,252,272.2,13417.8,39,157,1
2047,63484,104,312.0,13638.4,28,210,0
2047,65608,181,407.6,15278.6,33,198,1
1111,42163,56,204.8,8639.2,17,106,1
