Game Duration,Total Team Gold Earned,Total Team Crowd Control Time,Average Team Account Level,Average Team Champion Mastery,Total Team Kills,Total Team Vision Score,Win
1538,48696,62,434.0,9624.2,24,96,0
1538,58957,51,256.4,12704.2,41,120,1
1574,58458,68,299.0,12736.8,41,120,1
1574,52100,246,339.6,10536.2,23,129,0
1688,50810,98,313.8,11088.0,23,113,0
1688,63267,100,349.2,13969.6,38,218,1
1214,43833,78,290.2,9164.2,20,97,1
1214,30524,64,346.8,7212.0,7,78,0
1950,74673,102,227.2,16300.6,49,169,0
1950,77167,124,315.0,18297.0,48,205,1
938,22683,33,435.2,5405.0,2,55,0
938,34796,21,314.2,7424.4,19,71,1
1613,51535,67,253.2,11209.0,30,141,0
1613,63859,107,380.6,13378.0,38,186,1
1487,47301,91,520.6,11174.4,22,124,0
1487,51580,76,408.0,11488.2,26,138,1
1050,33949,47,455.6,7723.6,18,57,1
1050,28939,59,491.4,6889.6,7,44,0
1486,44948,75,282.2,9568.6,13,96,0
1486,55241,90,317.8,12698.4,27,151,1
1806,55118,153,283.6,13230.8,28,164,0
1806,62827,129,284.6,14881.0,34,158,1
1697,51559,120,390.2,11350.0,18,140,0
1697,63423,56,370.4,13977.8,43,151,1
685,22852,32,305.6,4612.6,17,44,1
685,15853,16,355.4,3525.4,1,30,0
1519,42565,75,196.0,10460.8,18,104,0
1519,53844,96,340.2,12269.0,31,150,1
1984,62433,83,407.6,13548.6,31,155,0
1984,69409,136,311.4,15943.4,44,162,1
1790,67285,92,427.4,15590.8,36,122,1
1790,63233,116,453.6,14789.8,40,174,0
1920,71253,176,409.4,15873.6,42,166,1
1920,66707,131,352.4,15094.2,38,177,0
1364,40824,121,384.4,8896.8,22,90,0
1364,48287,103,204.8,9795.6,26,111,1
1875,58555,149,319.6,13492.0,25,156,0
1875,66500,114,440.0,16612.4,32,165,1
2175,68060,151,287.0,15419.6,32,236,0
2175,73327,112,402.8,16923.0,43,208,1
2163,69137,138,165.0,16174.0,30,181,0
2163,79184,136,405.2,18867.2,56,217,1
1768,51004,74,136.0,11502.2,18,118,0
1768,65817,117,263.0,15500.2,42,178,1
1218,44553,83,544.8,9668.0,25,93,1
1218,34650,45,295.2,7759.0,10,93,0
2208,77342,117,289.0,18776.2,51,186,1
2208,73606,110,422.6,18701.8,34,156,0
1610,51560,75,449.2,11546.4,17,140,1
1610,46801,62,316.8,10557.6,15,153,0
1415,52415,85,400.6,10774.4,32,108,1
1415,36329,60,470.4,8933.0,12,92,0
1487,59173,56,350.2,12809.8,46,149,1
1487,44770,55,310.6,9890.0,19,90,0
1072,42155,40,454.8,8219.6,25,83,1
1072,30654,61,280.6,6474.0,13,80,0
1390,52552,94,221.6,12037.8,33,83,1
1390,43194,56,348.6,9622.2,16,103,0
1084,41859,102,111.8,8182.0,31,73,1
1084,32599,50,264.0,7336.8,16,37,0
1867,56516,116,354.6,13415.8,27,232,0
1867,62244,126,146.0,14433.4,33,164,1
2123,71707,104,171.4,16984.8,48,181,0
2123,74970,78,225.8,16711.2,42,169,1
1672,47045,82,461.8,10593.2,22,167,0
1672,60363,166,366.4,13942.8,39,173,1
1545,43459,120,257.0,9340.6,14,127,0
1545,55197,66,229.2,12962.8,29,109,1
1564,44174,82,343.2,10457.8,19,101,0
1564,58674,78,320.0,13022.0,34,150,1
1280,36304,82,442.0,7690.8,14,76,0
1280,54925,77,231.8,10154.6,41,87,1
1517,43861,55,297.6,10396.8,20,109,0
1517,51478,61,324.4,10858.6,29,136,1
1962,68583,133,240.0,16228.2,38,188,1
1962,60675,174,385.8,13989.8,29,196,0
1355,40725,69,435.0,9076.2,18,128,0
1355,47921,41,384.8,10204.2,27,95,1
1838,58981,189,304.0,14049.8,26,122,0
1838,70046,146,397.4,15857.2,54,161,1
2382,78672,160,449.0,18374.8,39,225,1
2382,79218,68,378.8,19064.8,36,222,0
2000,70169,86,286.6,17012.0,35,209,1
2000,60464,182,414.6,15066.8,29,214,0
1314,50998,86,259.2,11441.6,33,105,1
1314,33534,39,262.4,7861.2,10,88,0
2176,68181,60,426.8,16866.6,23,159,0
2176,67860,115,362.8,17110.0,28,200,1
1555,39603,86,301.2,9763.4,9,114,0
1555,50793,91,399.2,11366.4,23,147,1
1384,58446,87,401.8,11050.2,36,104,1
1384,35731,102,286.4,7988.2,10,75,0
1591,55000,73,265.8,12658.2,33,170,1
1591,46911,80,374.8,10164.2,17,141,0
1659,54520,113,244.6,12221.8,27,147,1
1659,46963,70,169.2,10591.6,16,145,0
1256,49827,60,288.2,10645.2,38,105,1
1256,38093,58,270.8,8566.0,19,81,0
1441,54205,100,334.6,11694.8,43,100,1
1441,44848,72,249.4,9551.8,22,99,0
1442,55340,145,373.2,11571.4,38,109,1
1442,43266,115,471.0,9489.4,19,101,0
1733,58288,53,365.6,13464.8,30,152,1
1733,52179,73,305.2,11461.2,12,176,0
1587,59086,111,441.2,13122.2,40,149,1
1587,46938,114,356.6,9880.2,21,83,0
1257,34424,56,463.2,8285.4,11,80,0
1257,42291,73,297.4,9946.0,22,111,1
2108,57124,242,419.6,13799.0,18,137,0
2108,70266,234,223.0,16370.4,48,235,1
1477,40122,81,397.2,9113.8,14,106,0
1477,55770,80,295.6,11900.2,40,118,1
925,24640,24,308.0,5296.4,9,47,0
925,32836,44,274.4,6513.0,18,46,1
1424,52666,51,346.8,11748.4,28,106,1
1424,36830,83,378.6,8383.2,10,99,0
1594,64012,109,182.2,14058.6,46,147,1
1594,51937,121,392.2,11240.8,30,110,0
1406,41375,95,260.8,8866.0,14,102,0
1406,52611,60,335.0,10851.8,42,116,1
935,38542,44,256.2,6845.4,28,45,1
935,26548,40,476.2,5320.6,9,49,0
1193,30826,20,432.6,7334.6,7,66,0
1193,44009,41,324.0,9631.6,25,85,1
1536,42501,73,167.6,9689.0,17,131,0
1536,55430,76,398.4,12186.4,38,150,1
2213,69524,118,447.2,17479.4,28,234,0
2213,73257,115,428.0,18373.0,20,210,1
1515,50861,56,283.8,11255.4,26,134,1
1515,43118,97,386.2,9772.6,17,105,0
1852,60106,116,356.2,14035.6,34,171,0
1852,68495,127,462.4,15820.8,36,165,1
1739,58608,94,240.8,13399.0,26,160,1
1739,53040,86,255.4,12440.8,18,141,0
1835,59345,115,262.4,13293.2,29,119,0
1835,65878,89,266.6,15670.0,39,148,1
1887,64006,39,423.4,15450.0,28,188,1
1887,57333,81,280.6,13949.8,28,186,0
2613,85079,135,257.0,22027.4,38,261,0
2613,84439,123,324.0,20898.8,34,300,1
913,34379,38,412.0,6292.2,18,71,1
913,20096,22,365.0,5082.2,4,30,0
1653,55406,105,498.4,12442.0,36,118,0
1653,71559,112,338.4,15125.0,55,138,1
954,23990,25,357.0,5491.8,6,53,0
954,33641,40,234.6,6634.4,20,50,1
1296,44563,122,338.0,8790.6,31,82,0
1296,55745,90,482.2,11022.6,43,107,1
1661,53314,100,551.6,12026.2,29,141,0
1661,62391,88,306.8,14965.4,40,122,1
1682,51900,126,488.2,10505.4,22,105,0
1682,59754,129,332.6,13812.4,39,139,1
1736,56737,100,202.4,12094.6,31,170,0
1736,64307,100,306.8,14946.0,36,137,1
2145,72778,193,381.8,16932.4,55,193,0
2145,74357,186,436.8,17368.4,43,152,1
1451,48953,83,474.0,10142.6,24,135,0
1451,55325,260,255.4,12567.6,37,101,1
1558,47187,94,349.0,11277.8,21,115,0
1558,58465,153,286.6,13898.4,31,171,1
1380,52522,56,337.2,10859.6,29,94,1
1380,40120,48,369.6,8953.0,11,75,0
2300,77622,128,410.8,18876.8,42,199,0
2300,78564,151,394.2,20187.2,42,253,1
1808,60823,77,368.8,13177.6,33,176,0
1808,66772,60,251.2,15030.6,43,185,1
2042,68142,65,229.6,15172.8,25,210,1
